192.168.111.19	timestamp	2019-05-22T14:12:01.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:02.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:03.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:04.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:05.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:06.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:07.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:08.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:09.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:10.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:11.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:12.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:13.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:14.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:15.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:16.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:17.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:18.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:19.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:20.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:21.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:22.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:23.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:24.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:25.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:26.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:27.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:28.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:29.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:30.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:31.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:32.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:33.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:34.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:35.000000Z	value	417993.862
192.168.111.19	timestamp	2019-05-22T14:12:36.000000Z	value	417993.863
192.168.111.19	timestamp	2019-05-22T14:12:37.000000Z	value	418004.791
192.168.111.19	timestamp	2019-05-22T14:12:38.000000Z	value	418046.961
192.168.111.19	timestamp	2019-05-22T14:12:39.000000Z	value	418091.363
192.168.111.19	timestamp	2019-05-22T14:12:40.000000Z	value	418125.257
192.168.111.19	timestamp	2019-05-22T14:12:41.000000Z	value	418172.705
192.168.111.19	timestamp	2019-05-22T14:12:42.000000Z	value	418221.617
192.168.111.19	timestamp	2019-05-22T14:12:43.000000Z	value	418271.138
192.168.111.19	timestamp	2019-05-22T14:12:44.000000Z	value	418318.487
192.168.111.19	timestamp	2019-05-22T14:12:45.000000Z	value	418337.005
192.168.111.19	timestamp	2019-05-22T14:12:46.000000Z	value	418349.042
